,source_name
787178-3,Prisons Clinic
167771-5,Prison Health Post
950899-5,Princess Marina Hospital
547563-7,Poloka Health Post
602553-0,Pole Health Post
947960-1,Plateau Clinic
253548-2,Pitseng Clinic
432283-0,Pitsane Clinic
806776-1,Pilikwe Clinic
119826-6,Pilane Health Post
442946-0,Phuthadikobo Clinic
478048-2,Phuduhudu Health Post
237583-0,Phitshane Potlokwe Health Post
410981-5,Qangwa Clinic
741052-5,Radisele Clinic
244463-6,Rakhuna Health Post
886790-5,Rakops Health Post
153050-0,SSKB (Mogoditshane BDF) Clinic
169155-9,SHAA\Bosele Health Post
825473-2,Russel May Clinic
691806-4,Rungwana
760197-4,Robelela Health Post
305466-5,Ratholo Health Post
757017-9,Rasesa  Clinic
237250-6,Phitshane Molopo Clinic
465070-1,Rappelspan Health Post
199894-7,Ramotswa Station/ Taung Clinic
276326-6,Ramotlabaki Health Post
362146-3,Ramokgwebana Clinic
609667-1,Ramokgonami Clinic
975887-1,Ramatlabama Clinic
586770-0,Ralekgetho Health Post
473132-9,Rakops Primary Hospital
982082-0,Ranaka Clinic
676905-3,Phihetswane Health Post
411806-3,Phase 2 Clinic
134033-0,Phaphane  Clinic
379558-0,Nxaunxau Health Post
146770-3,Nxamasere Health Post
533191-3,Nutrition Clinic
433002-3,Ntshe Clinic
171223-1,Ntlhantlhe Clinic
404224-8,Nswazi Clinic
803159-3,Nshakashogwe Health Post
431904-2,Nyangabgwe Hospital
245929-5,Nokaneng Clinic
921292-9,Nkoyaphiri Clinic
832575-5,Nkange Clinic
257736-9,Nkaikela Health Post
910036-3,Ngwatle Health Post
535023-6,Ngware Clinic
134420-9,Ngwapa Health Post
554994-4,Ngarange Health Post
348737-8,Nlaphkwane Clinic
858271-0,Mmathubudukwane  Clinic
870919-8,Old Naledi Clinic
635660-4,Oliphant's Drift  Clinic
562246-9,Peleng Central Clinic
709838-7,Parakarungu Clinic 
250219-3,Papatlo Health Post
472023-1,Pandamatenga Clinic
287528-4,Pandamatenga BDF Clinic
237486-6,Pallaroad Health Post
447878-0,Old Sekgoma Clinic
287388-3,Palapye Primary Hospital
835707-1,Paje BDF Health Post
832969-0,POHA BDF Health Post
900214-8,Otse Health Post
568461-8,Otse Clinic
868940-8,Oodi  Clinic
451455-0,Omaweneno Health Post
477889-0,Paje Health Post
544933-5,Borotsi Clinic
635,Kasane Primary Hospital
553760-0,Boipelego Clinic
448812-8,Bodungwane Health Post
602729-6,BMC Clinic (factory)
